"","hgnc_symbol","entrezgene"
"5292","RGMB",285704
"5293","FNTB",2342
"5294","ACAD9",28976
"5295","ZBTB2",57621
"5296","C18orf8",29919
"5297","ERP29",10961
"5298","FHL2",2274
"5299","NOL12",79159
"5300","SYT5",6861
"5301","KIF26B",55083
"5302","EID3",493861
"5303","DHX30",22907
"5304","SEC22B",9554
"5305","PTCD3",55037
"5306","CHCHD2",51142
"5307","DNAJC2",27000
"5308","",12
"5309","RFX7",64864
"5310","ZNF385D",79750
"5311","CGB7",94027
"5312","KCNH1",3756
"5313","CRYL1",51084
"5314","C19orf70",125988
"5315","ETNPPL",64850
"5316","RSF1",51773
"5317","CDK1",983
"5318","MIOS",54468
"5319","TSPO",706
"5320","",654342
"5321","TNXB",7148
"5322","STEAP1B",256227
"5323","CHMP7",91782
"5324","AKNAD1",254268
"5325","TBC1D29",26083
"5326","CAPZA2",830
"5327","GGT7",2686
"5328","CPNE3",8895
"5329","CA10",56934
"5330","IMPDH1",3614
"5331","PITPNM1",9600
"5332","ZNF787",126208
"5333","IFT74",80173
"5334","FSIP1",161835
"5335","FOXI1",2299
"5336","YAP1",10413
"5337","TSTD2",158427
"5338","RNPEP",6051
"5339","SAE1",10055
"5340","CNBP",7555
"5341","SRGN",5552
"5342","MEGF9",1955
"5343","EEA1",8411
"5344","CTSL3P",392360
"5345","VSIG2",23584
"5346","C5",727
"5347","HHLA3",11147
"5348","ITGA2",3673
"5349","BAAT",570
"5350","SHF",90525
"5351","MYDGF",56005
"5352","HOTAIR",100124700
"5353","FCER1A",2205
"5354","RAB18",22931
"5355","NCSTN",23385
"5356","TBR1",10716
"5357","TBPL1",9519
"5358","FBXO9",26268
"5359","ZNF696",79943
"5360","CD24",100133941
"5361","SLC16A4",9122
"5362","MTHFD2L",441024
"5363","RETN",56729
"5364","AKR1C1",1645
"5365","RPL6",6128
"5366","ANKH",56172
"5367","ARHGEF3",50650
"5368","INTS3",65123
"5369","CCND2",894
"5370","GSTT1",2952
"5371","CUTA",51596
"5372","EXTL1",2134
"5373","C14orf166",51637
"5374","THEM6",51337
"5375","PCDHGA2",56113
"5376","SH2D1B",117157
"5377","ZNF474",133923
"5378","KLK1",3816
"5379","UBA6",55236
"5380","BTNL3",10917
"5381","WRN",7486
"5382","MCF2L",23263
"5383","AK2",204
"5384","RAP2C",57826
"5385","INA",9118
"5386","SLC25A39",51629
"5387","FLI1",2313
"5388","SPAG4",6676
"5389","DUOXA2",405753
"5390","LILRB5",10990
"5391","IMPA2",3613
"5392","RPEL1",729020
"5393","FAM170B",170370
"5394","PIBF1",10464
"5395","GPR150",285601
"5396","ATP5E",514
"5397","MOSPD2",158747
"5398","CCND1",595
"5399","CEP78",84131
"5400","CXorf67",340602
"5401","BAG2",9532
"5402","DR1",1810
"5403","BLVRA",644
"5404","ROPN1",54763
"5405","DMBX1",127343
"5406","MKS1",54903
"5407","ANKRD65",441869
"5408","DRAM2",128338
"5409","NAPB",63908
"5410","YBX3",8531
"5411","VSTM4",196740
"5412","SSSCA1",10534
"5413","SMARCA5",8467
"5414","SPAG16",79582
"5415","PMEPA1",56937
"5416","IGF1R",3480
"5417","GSKIP",51527
"5418","PTX4",390667
"5419","BLOC1S6",26258
"5420","RSPO4",343637
"5421","TMEM71",137835
"5422","ZNF408",79797
"5423","TEC",7006
"5424","NRTN",4902
"5425","SGIP1",84251
"5426","ACOX2",8309
"5427","HLA-B",3106
"5428","SLC35D1",23169
"5429","CDC42EP3",10602
"5430","KRT8",3856
"5431","CDC26",246184
"5432","DOK6",220164
"5433","ABCA2",20
"5434","POMP",51371
"5435","SNRNP70",6625
"5436","GOLGA6D",653643
"5437","TPST1",8460
"5438","PKDREJ",10343
"5439","NME8",51314
"5440","PLEKHO2",80301
"5441","FERMT2",10979
"5442","SOCS4",122809
"5443","SDCBP2",27111
"5444","RBCK1",10616
"5445","NDUFA7",4701
"5446","C20orf85",128602
"5447","LEPROT",54741
"5448","TNS3",64759
"5449","TRIT1",54802
"5450","KCTD17",79734
"5451","KRTAP6-2",337967
"5452","MTFR2",113115
"5453","METTL11B",149281
"5454","ZNF767P",79970
"5455","KLHL7",55975
"5456","PCYT1B",9468
"5457","TAS2R13",50838
"5458","INTS4",92105
"5459","C5orf63",401207
"5460","MRPL47",57129
"5461","TAS2R31",259290
"5462","TRIP10",9322
"5463","SERPINA4",5267
"5464","FARP1",10160
"5465","HMGA1",3159
"5466","CD226",10666
"5467","ULK4P1",100288380
"5468","SYT16",83851
"5469","DCAF5",8816
"5470","EML4",27436
"5471","IL1RAP",3556
"5472","GRTP1",79774
"5473","C2orf50",130813
"5474","SNAP25",6616
"5475","UGT2B10",7365
"5476","ST3GAL2",6483
"5477","CREBBP",1387
"5478","SEC23A",10484
"5479","PHLDA2",7262
"5480","RHOBTB1",9886
"5481","CAPN7",23473
"5482","ZNF43",7594
"5483","MS4A8",83661
"5484","ZNF662",389114
"5485","EVC",2121
"5486","TYR",7299
"5487","CXorf57",55086
"5488","GPS1",2873
"5489","DSCR4",10281
"5490","ARL2",402
"5491","HELB",92797
"5492","NARS",4677
"5493","FAM109A",144717
"5494","NUP133",55746
"5495","TCEA2",6919
"5496","PCNX1",22990
"5497","SLC18A2",6571
"5498","TCTN2",79867
"5499","MPHOSPH8",54737
"5500","B4GALT3",8703
"5501","PPP2R2B",5521
"5502","WNT4",54361
"5503","STK26",51765
"5504","CASP2",835
"5505","CCDC177",56936
"5506","MYO19",80179
"5507","ACAP2",23527
"5508","ZNF48",197407
"5509","ARL5A",26225
"5510","EHBP1L1",254102
"5511","PHF20L1",51105
"5512","DMRTC1",63947
"5513","ATN1",1822
"5514","PAPD5",64282
"5515","ZNF672",79894
"5516","MAP1LC3B",81631
"5517","PERM1",84808
"5518","STXBP1",6812
"5519","XKR3",150165
"5520","CERS4",79603
"5521","SLCO6A1",133482
"5522","CNTNAP1",8506
"5523","INPP5F",22876
"5524","CERS2",29956
"5525","GJA10",84694
"5526","ZCCHC5",203430
"5527","DDTL",100037417
"5528","LRRC36",55282
"5529","NDST3",9348
"5530","PCDHB6",56130
"5531","GSTT2",2953
"5532","PRC1",9055
"5533","IGSF5",150084
"5534","RHO",6010
"5535","TMEM18",129787
"5536","GIPC1",10755
"5537","RAB9A",9367
"5538","CDK14",5218
"5539","TEX29",121793
"5540","PSMB6",5694
"5541","DDIT3",1649
"5542","C19orf73",55150
"5543","CCDC105",126402
"5544","MARK2",2011
"5545","SEC24D",9871
"5546","ANKRD13C",81573
"5547","C8G",733
"5548","PTPN5",84867
"5549","HFE",3077
"5550","ACP5",54
"5551","MSX2",4488
"5552","HLA-A",3105
"5553","VDAC1",7416
"5554","SLC24A4",123041
"5555","ZNF415",55786
"5556","STXBP2",6813
"5557","ID4",3400
"5558","ZNF251",90987
"5559","PHF7",51533
"5560","LTF",4057
"5561","ARHGAP31",57514
"5562","FAM222A-AS1",84983
"5563","KRTCAP3",200634
"5564","LINC00852",84657
"5565","RNF19B",127544
"5566","OR2H1",26716
"5567","GALE",2582
"5568","EPCAM",4072
"5569","BANP",54971
"5570","ZNF232",7775
"5571","POLR3A",11128
"5572","PSG2",5670
"5573","ACTR3B",57180
"5574","CD101",9398
"5575","OR52J3",119679
"5576","KRTDAP",388533
"5577","MVB12B",89853
"5578","ZNF583",147949
"5579","OR8B12",219858
"5580","MFSD6",54842
"5581","HOXA6",3203
"5582","OR8A1",390275
"5583","CCL17",6361
"5584","ANAPC11",51529
"5585","XAGE2",9502
"5586","CDCA2",157313
"5587","SNCG",6623
"5588","TRIM27",5987
"5589","FLII",2314
"5590","MMP15",4324
"5591","MAPK1IP1L",93487
"5592","FCRL1",115350
"5593","LINC00305",221241
"5594","HIST1H4E",8367
"5595","TULP1",7287
"5596","MICB",4277
"5597","ITGA1",3672
"5598","STK19",8859
"5599","C10orf90",118611
"5600","HSD17B13",345275
"5601","NUDT8",254552
"5602","SQSTM1",8878
"5603","TMEM25",84866
"5604","ANXA10",11199
"5605","BRWD3",254065
"5606","MOXD1",26002
"5607","ADGB",79747
"5608","CD300LG",146894
"5609","KRT77",374454
"5610","ABLIM1",3983
"5611","SPTSSB",165679
"5612","COL13A1",1305
"5613","SMYD2",56950
"5614","FAM168B",130074
"5615","TRUB2",26995
"5616","NDUFA8",4702
"5617","SPATA31A5",727905
"5618","SLC25A17",10478
"5619","INF2",64423
"5620","OR6N2",81442
"5621","COQ6",51004
"5622","LINC00917",732275
"5623","NUAK2",81788
"5624","C14orf2",9556
"5625","TAAR6",319100
"5626","FGD2",221472
"5627","MAGEB3",4114
"5628","RAB33B",83452
"5629","COX8C",341947
"5630","LUM",4060
"5631","INTS12",57117
"5632","ELAC2",60528
"5633","SLC4A10",57282
"5634","RBM22",55696
"5635","FGF19",9965
"5636","PCDHAC2",56134
"5637","KCNS3",3790
"5638","PSMB4",5692
"5639","EXOC4",60412
"5640","PAX4",5078
"5641","DCUN1D1",54165
"5642","JOSD2",126119
"5643","LRP10",26020
"5644","GPR45",11250
"5645","TRPV2",51393
"5646","FH",2271
"5647","RPL35",11224
"5648","PIK3CD",5293
"5649","RHBDD3",25807
"5650","KLKP1",606293
"5651","HIST1H3C",8352
"5652","VWA7",80737
"5653","CDH22",64405
"5654","RAD17",5884
"5655","SEL1L2",80343
"5656","CYP17A1",1586
"5657","RPS9",6203
"5658","GPR88",54112
"5659","HSPB3",8988
"5660","LIMA1",51474
"5661","LAT2",7462
"5662","KLK4",9622
"5663","SYTL2",54843
"5664","ZBTB7B",51043
"5665","TWF1",5756
"5666","TIMM50",92609
"5667","TMEM161B",153396
"5668","PLEKHG5",57449
"5669","WDR6",11180
"5670","PRODH2",58510
"5671","GPR52",9293
"5672","ZNF329",79673
"5673","MFAP2",4237
"5674","NORAD",647979
"5675","METTL13",51603
"5676","RGS17",26575
"5677","SEPHS2",22928
"5678","BARX1",56033
"5679","IRX1",79192
"5680","ZNF287",57336
"5681","HPRT1",3251
"5682","BCS1L",617
"5683","COL26A1",136227
"5684","PDXP",57026
"5685","SEMA6D",80031
"5686","XKR5",389610
"5687","ANKS1A",23294
"5688","ESPNL",339768
"5689","RAB15",376267
"5690","CGB8",94115
"5691","HP1BP3",50809
"5692","DCUN1D4",23142
"5693","ZNF564",163050
"5694","SPRR2F",6705
"5695","LACTB2",51110
"5696","MYSM1",114803
"5697","RAB9B",51209
"5698","HOXB3",3213
"5699","HSPBP1",23640
"5700","COL8A2",1296
"5701","IL5RA",3568
"5702","DNAH1",25981
"5703","ARHGEF4",50649
"5704","CCSAP",126731
"5705","CXCL10",3627
"5706","TRMT61A",115708
"5707","KIAA0895L",653319
"5708","DNAH5",1767
"5709","SEC23B",10483
"5710","RNF186",54546
"5711","GNL3L",54552
"5712","PXMP4",11264
"5713","ILKAP",80895
"5714","CPE",1363
"5715","FAM219B",57184
"5716","SOBP",55084
"5717","OAS2",4939
"5718","UVRAG",7405
"5719","MOB3C",148932
"5720","BBS10",79738
"5721","SLC25A45",283130
"5722","ATP5I",521
"5723","DIRC1",116093
"5724","RRP7A",27341
"5725","PRPF38A",84950
"5726","CGA",1081
"5727","PRKCH",5583
"5728","TMEFF2",23671
"5729","INO80",54617
"5730","CASKIN1",57524
"5731","HRNR",388697
"5732","CCDC68",80323
"5733","TMEM99",147184
"5734","ZNF720",124411
"5735","PCDHB12",56124
"5736","CD55",1604
"5737","RANBP6",26953
"5738","GRM7",2917
"5739","GLTSCR1",29998
"5740","NLRC4",58484
"5741","ZNF286A",57335
"5742","DEFB124",245937
"5743","CUX2",23316
"5744","ATAD2B",54454
"5745","KNTC1",9735
"5746","LRRIQ3",127255
"5747","CDO1",1036
"5748","GTF2E2",2961
"5749","MIR7-3HG",284424
"5750","CFAP36",112942
"5751","CD164",8763
"5752","VGLL2",245806
"5753","RHBDL1",9028
"5754","GSTO2",119391
"5755","TPGS2",25941
"5756","ITGAV",3685
"5757","C6orf201",404220
"5758","CLVS2",134829
"5759","MORC2",22880
"5760","C2CD4D",100191040
"5761","FOSB",2354
"5762","PTBP3",9991
"5763","ZAR1",326340
"5764","VKORC1L1",154807
"5765","ADM5",199800
"5766","UBXN10",127733
"5767","GPR83",10888
"5768","FAM187B",148109
"5769","GINS4",84296
"5770","ACPT",93650
"5771","FAM184A",79632
"5772","SUSD6",9766
"5773","CHRNB3",1142
"5774","PLA2G4C",8605
"5775","RASAL2",9462
"5776","KLK10",5655
"5777","MCF2",4168
"5778","WDR37",22884
"5779","CWC22",57703
"5780","C8orf22",492307
"5781","CHRNA9",55584
"5782","MEF2A",4205
"5783","SRRM2",23524
"5784","CALM2",805
"5785","",100134368
"5786","DPPA4",55211
"5787","PRAME",23532
"5788","DMD",1756
"5789","ACTBL2",345651
"5790","SDC3",9672
"5791","ATP6V1G3",127124
"5792","ABT1",29777
"5793","CTU1",90353
"5794","DHRS9",10170
"5795","HMOX2",3163
"5796","EIF2B5",8893
"5797","UPK1B",7348
"5798","TCHH",7062
"5799","ZNF570",148268
"5800","MFSD7",84179
"5801","VSIG10L",147645
"5802","SLC5A1",6523
"5803","PLEKHG7",440107
"5804","SSR2",6746
"5805","POLB",5423
"5806","USP5",8078
"5807","ATP10B",23120
"5808","GPER1",2852
"5809","PLA2G2C",391013
"5810","CCL3",6348
"5811","FAM43B",163933
"5812","CCT3",7203
"5813","THBS3",7059
"5814","FRS2",10818
"5815","SHISA7",729956
"5816","GET4",51608
"5817","HEPN1",641654
"5818","OR8D4",338662
"5819","SERBP1",26135
"5820","RFFL",117584
"5821","FOXN1",8456
"5822","HIRIP3",8479
"5823","EDN1",1906
"5824","OR4D5",219875
"5825","VPS9D1",9605
"5826","DOK4",55715
"5827","CNTROB",116840
"5828","TUBB2A",7280
"5829","SYAP1",94056
"5830","PLD4",122618
"5831","NAB2",4665
"5832","OR5B12",390191
"5833","CHGA",1113
"5834","NPBWR2",2832
"5835","ALDH4A1",8659
"5836","IQCE",23288
"5837","FAM171B",165215
"5838","WNT10B",7480
"5839","ZNF382",84911
"5840","POLD1",5424
"5841","LRRC73",221424
"5842","ENPP6",133121
"5843","EFCAB1",79645
"5844","ESR2",2100
"5845","POLRMT",5442
"5846","LINC00982",440556
"5847","ZNF362",149076
"5848","TTLL9",164395
"5849","NCOA4",8031
"5850","RP9P",441212
"5851","GZF1",64412
"5852","TRIM60",166655
"5853","AP2A1",160
"5854","DPCD",25911
"5855","ADGRA1",84435
"5856","CCT6B",10693
"5857","OTOF",9381
"5858","TTBK1",84630
"5859","ITK",3702
"5860","DMRTC2",63946
"5861","GPR68",8111
"5862","YARS",8565
"5863","BCL2L12",83596
"5864","FAM71E1",112703
"5865","MFSD5",84975
"5866","RDH10",157506
"5867","EEF1A1",1915
"5868","SNAI2",6591
"5869","CDA",978
"5870","HSD17B7",51478
"5871","AAK1",22848
"5872","REEP1",65055
"5873","TCEAL8",90843
"5874","NSMF",26012
"5875","PLD3",23646
"5876","NLRP12",91662
"5877","KLF3",51274
"5878","INTS7",25896
"5879","SLC13A5",284111
"5880","CASP1",834
"5881","ZBTB11",27107
"5882","HPR",3250
"5883","MYADML2",255275
"5884","OR2B11",127623
"5885","FAM49B",51571
"5886","MFAP3L",9848
"5887","ZNF181",339318
"5888","NEUROD4",58158
"5889","IL20RB",53833
"5890","MAP3K1",4214
"5891","AVPR1A",552
"5892","NANOS1",340719
"5893","FAM189A2",9413
"5894","HCN3",57657
"5895","WDR81",124997
"5896","MAB21L1",4081
"5897","POTEE",445582
"5898","GNB2",2783
"5899","TTC27",55622
"5900","MYEF2",50804
"5901","OSBPL3",26031
"5902","DEFA1",728358
"5903","NRF1",4899
"5904","ZNF175",7728
"5905","RPL15",6138
"5906","CCDC154",645811
"5907","STON2",85439
"5908","SLA",6503
"5909","HIST1H4H",8365
"5910","DHFR",1719
"5911","TNFRSF13C",115650
"5912","ATXN3L",92552
"5913","RANBP3",8498
"5914","SERTAD1",29950
"5915","CAV1",857
"5916","CYBRD1",79901
"5917","GFER",2671
"5918","OR6C74",254783
"5919","SERTAD3",29946
"5920","MXI1",4601
"5921","DTYMK",1841
"5922","F8A1",8263
"5923","OR52L1",338751
"5924","MICAL2",9645
"5925","OR10S1",219873
"5926","USP27X",389856
"5927","AMN",81693
"5928","METAP2",10988
"5929","BLVRB",645
"5930","HAO2",51179
"5931","OR2C3",81472
"5932","SLC25A42",284439
"5933","MFSD13A",79847
"5934","NFU1",27247
"5935","PLSCR2",57047
"5936","ATF7IP2",80063
"5937","PCDHB9",56127
"5938","SMPX",23676
"5939","RNF44",22838
"5940","TRPC3",7222
"5941","MSL1",339287
"5942","BEND6",221336
"5943","PCNX2",80003
"5944","SLC10A6",345274
"5945","TMEM147",10430
"5946","ARL9",132946
"5947","RNF216P1",441191
"5948","RBM47",54502
"5949","HES7",84667
"5950","SEC61A2",55176
"5951","CHM",1121
"5952","IPO11",51194
"5953","LINC00599",157627
"5954","POLE2",5427
"5955","PARK2",5071
"5956","NFE2",4778
"5957","RAB40AL",282808
"5958","MYADM",91663
"5959","LRCH2",57631
"5960","UTS2B",257313
"5961","TNIP2",79155
"5962","ST3GAL1",6482
"5963","CSNK1G2-AS1",255193
"5964","DNAH14",127602
"5965","SEMA5B",54437
"5966","EBF1",1879
"5967","SCN10A",6336
"5968","TRA2A",29896
"5969","PSMA5",5686
"5970","IGFL1",374918
"5971","PRICKLE1",144165
"5972","TXNL4B",54957
"5973","KBTBD11",9920
"5974","ARHGAP21",57584
"5975","RAB21",23011
"5976","RGPD4",285190
"5977","FAM216A",29902
"5978","DNASE2",1777
"5979","PYY",5697
"5980","RASL11A",387496
"5981","TMEM63C",57156
"5982","ADI1",55256
"5983","SLC34A2",10568
"5984","TTC21B",79809
"5985","FAM218A",152756
"5986","ADAM9",8754
"5987","HIST2H4A",8370
"5988","OR11H1",81061
"5989","PPIG",9360
"5990","ASIC4",55515
"5991","B4GALT4",8702
"5992","TCP10",6953
"5993","RUSC1",23623
"5994","RTCA",8634
"5995","GLT6D1",360203
"5996","PRELID3A",10650
"5997","FCRLB",127943
"5998","IGSF21",84966
"5999","CACNG7",59284
"6000","AARS2",57505
"6001","DSCR8",84677
"6002","NUDT19",390916
"6003","UBE2I",7329
"6004","TRIM55",84675
"6005","STK17A",9263
"6006","TRIM74",378108
"6007","SF3B4",10262
"6008","SERPINA9",327657
"6009","HCFC1",3054
"6010","PLGRKT",55848
"6011","ADIRF",10974
"6012","RNF20",56254
"6013","TTTY16",252948
"6014","PRSS33",260429
"6015","KIAA1324",57535
"6016","TSPYL2",64061
"6017","HNRNPD",3184
"6018","SLC1A4",6509
"6019","OR5M8",219484
"6020","INCA1",388324
"6021","EFCAB2",84288
"6022","C6orf118",168090
"6023","CEBPD",1052
"6024","BMP6",654
"6025","STK39",27347
"6026","CTDSPL2",51496
"6027","TRRAP",8295
"6028","FABP2",2169
"6029","IGF2BP1",10642
"6030","IFI16",3428
"6031","SERPINA1",5265
"6032","ZNF140",7699
"6033","BBX",56987
"6034","TTTY12",83867
"6035","S1PR4",8698
"6036","ACOT4",122970
"6037","GRB2",2885
"6038","TMEM74B",55321
"6039","NCLN",56926
"6040","PTTG2",10744
"6041","KDM3B",51780
"6042","MED16",10025
"6043","KLRG1",10219
"6044","HRH3",11255
"6045","RFXAP",5994
"6046","SEPT1",1731
"6047","ZFYVE28",57732
"6048","E2F7",144455
"6049","VNN2",8875
"6050","DNAAF1",123872
"6051","CSGALNACT1",55790
"6052","SNX24",28966
"6053","STAU2",27067
"6054","CECR5",27440
"6055","TUSC5",286753
"6056","COX14",84987
"6057","ZNF774",342132
"6058","VCP",7415
"6059","DDX46",9879
"6060","CMTM5",116173
"6061","SNW1",22938
"6062","CECR5-AS1",100130717
"6063","SHFM1",7979
"6064","VWA1",64856
"6065","SALL4",57167
"6066","LINC00964",157381
"6067","TNRC6B",23112
"6068","STYXL1",51657
"6069","BTN2A3P",54718
"6070","STAB1",23166
"6071","PRPF6",24148
"6072","ZBBX",79740
"6073","ISG20",3669
"6074","NEDD8",4738
"6075","WFDC11",259239
"6076","ACTR2",10097
"6077","CXCL3",2921
"6078","FOXJ1",2302
"6079","NKX2-4",644524
"6080","SCARF2",91179
"6081","YIF1A",10897
"6082","JAML",120425
"6083","OR2M3",127062
"6084","NPVF",64111
"6085","OR2T12",127064
"6086","RASGRP2",10235
"6087","TMEM86B",255043
"6088","LCE5A",254910
"6089","SLC25A32",81034
"6090","NTF3",4908
"6091","MRC2",9902
"6092","KSR2",283455
"6093","MMGT1",93380
"6094","KIF19",124602
"6095","MYLK3",91807
"6096","PNRC2",55629
"6097","UNC79",57578
"6098","PUS7",54517
"6099","AREL1",9870
"6100","ASPM",259266
"6101","CD69",969
"6102","C3orf20",84077
"6103","PODXL",5420
"6104","RNF157",114804
"6105","CTTNBP2NL",55917
"6106","RBM20",282996
"6107","C1S",716
"6108","ZNF12",7559
"6109","ZSWIM2",151112
"6110","CA5A",763
"6111","TSSK1B",83942
"6112","FAAH2",158584
"6113","CAPN9",10753
"6114","UPP1",7378
"6115","OR13J1",392309
"6116","CABP2",51475
"6117","CENPF",1063
"6118","P2RX6",9127
"6119","OR6N1",128372
"6120","AES",166
"6121","TIMP3",7078
"6122","WNT9B",7484
"6123","CISD3",284106
"6124","SLC9B1",150159
"6125","PRSS55",203074
"6126","TTTY23",252955
"6127","SLC4A4",8671
"6128","PLD1",5337
"6129","ELF2",1998
"6130","TAC3",6866
"6131","SIX6",4990
"6132","OPN5",221391
"6133","CCAR1",55749
"6134","S100A7",6278
"6135","BMT2",154743
"6136","CCNI2",645121
"6137","NFIL3",4783
"6138","ZIC3",7547
"6139","WDR90",197335
"6140","HKDC1",80201
"6141","CYYR1",116159
"6142","VTA1",51534
"6143","GTPBP1",9567
"6144","SGSH",6448
"6145","KIF2A",3796
"6146","NMI",9111
"6147","THAP1",55145
"6148","MOGAT3",346606
"6149","ATG12",9140
"6150","PRKACA",5566
"6151","OR52N5",390075
"6152","MIR155HG",114614
"6153","S100A6",6277
"6154","NCK2",8440
"6155","DSEL",92126
"6156","SMIM19",114926
"6157","PHLDA1",22822
"6158","LINC00654",149837
"6159","TYRP1",7306
"6160","OR9Q1",219956
"6161","RFESD",317671
"6162","NISCH",11188
"6163","SLCO1B7",338821
"6164","BATF3",55509
"6165","RPL13",6137
"6166","NUDT22",84304
"6167","DYNLT3",6990
"6168","ZSCAN10",84891
"6169","MTCL1",23255
"6170","TAF6L",10629
"6171","COQ4",51117
"6172","ALMS1",7840
"6173","F12",2161
"6174","RNF139",11236
"6175","CDK16",5127
"6176","TAAR5",9038
"6177","MTHFD1",4522
"6178","C14orf39",317761
"6179","KCTD20",222658
"6180","TCHHL1",126637
"6181","",442421
"6182","HSD11B1L",374875
"6183","TTLL2",83887
"6184","MAGIX",79917
"6185","DPH2",1802
"6186","RBM4",5936
"6187","PLA2G12B",84647
"6188","HSPB2",3316
"6189","ZNF189",7743
"6190","SLC43A2",124935
"6191","RPS27L",51065
"6192","NUP153",9972
"6193","CUL4A",8451
"6194","IRF2",3660
"6195","WISP1",8840
"6196","SDK2",54549
"6197","B3GALT5",10317
"6198","ZNF200",7752
"6199","SERP2",387923
"6200","OR4K17",390436
"6201","SLC9B2",133308
"6202","GALNTL5",168391
"6203","GORAB",92344
"6204","PUF60",22827
"6205","C7orf26",79034
"6206","XPA",7507
"6207","",146512
"6208","ITLN2",142683
"6209","SYT17",51760
"6210","ZSWIM3",140831
"6211","RGS2",5997
"6212","TMEM135",65084
"6213","ACO1",48
"6214","CAV2",858
"6215","PEX11A",8800
"6216","SLC44A5",204962
"6217","TREML1",340205
"6218","SPRYD4",283377
"6219","CCDC27",148870
"6220","ADGRG4",139378
"6221","SELENBP1",8991
"6222","APOA5",116519
"6223","SLC25A12",8604
"6224","MORN5",254956
"6225","PAAF1",80227
"6226","RALGAPA1",253959
"6227","RGS3",5998
"6228","NPHP3",27031
"6229","CYP4A11",1579
"6230","MIGA2",84895
"6231","CLRN1",7401
"6232","ATP6V1B2",526
"6233","FSD2",123722
"6234","VPS8",23355
"6235","PTPRB",5787
"6236","EZH1",2145
"6237","PHF21A",51317
"6238","GLRA1",2741
"6239","CELF2",10659
"6240","ACOT6",641372
"6241","NECAP2",55707
"6242","AGL",178
"6243","CERS5",91012
"6244","MPZL2",10205
"6245","OR52E4",390081
"6246","RAMP1",10267
"6247","RNF145",153830
"6248","SATB2",23314
"6249","CCDC102B",79839
"6250","ESCO2",157570
"6251","CALB1",793
"6252","CLEC2B",9976
"6253","ZNF613",79898
"6254","CD19",930
"6255","ERLIN1",10613
"6256","OR6C6",283365
"6257","GUCA1C",9626
"6258","RABGAP1L",9910
"6259","PNPLA8",50640
"6260","ZNF205",7755
"6261","C1orf43",25912
"6262","FEM1A",55527
"6263","GOLPH3L",55204
"6264","COMMD6",170622
"6265","RBM25",58517
"6266","SLC22A18",5002
"6267","UPK2",7379
"6268","TRIM5",85363
"6269","SMIM7",79086
"6270","GCG",2641
"6271","ZC2HC1B",153918
"6272","DKK4",27121
"6273","HDAC6",10013
"6274","RNASE11",122651
"6275","HPCAL4",51440
"6276","GPT2",84706
"6277","SDHC",6391
"6278","GAL3ST1",9514
"6279","SMARCAL1",50485
"6280","SLC4A9",83697
"6281","LRRC30",339291
"6282","CXCR5",643
"6283","ING3",54556
"6284","RELL1",768211
"6285","TTLL6",284076
"6286","KATNAL1",84056
"6287","ZXDB",158586
"6288","CELF4",56853
"6289","HAS2",3037
"6290","SYF2",25949
"6291","IPO5",3843
"6292","EXOSC4",54512
"6293","SYMPK",8189
"6294","PSIP1",11168
"6295","FCGR2B",2213
"6296","CENPI",2491
"6297","CHRNA7",1139
"6298","CREG1",8804
"6299","SNORD91A",692207
"6300","ENPP4",22875
"6301","TRIM56",81844
"6302","CELSR1",9620
"6303","CNKSR3",154043
"6304","BICC1",80114
"6305","SPHK1",8877
"6306","ELP4",26610
"6307","PHF1",5252
"6308","C19orf48",84798
"6309","CLPTM1L",81037
"6310","BTNL8",79908
"6311","COA5",493753
"6312","KCNIP3",30818
"6313","PWWP2A",114825
"6314","TMEM159",57146
"6315","ADAM19",8728
"6316","ATP6V1E2",90423
"6317","STMN3",50861
"6318","ADORA1",134
"6319","DSE",29940
"6320","TRIM41",90933
"6321","SALL3",27164
"6322","BRWD1",54014
"6323","C9orf116",138162
"6324","SNX16",64089
"6325","MATK",4145
"6326","OR4P4",81300
"6327","TBCD",6904
"6328","ARMT1",79624
"6329","SH3BP2",6452
"6330","GJA3",2700
"6331","FAM163B",642968
"6332","MS4A15",219995
"6333","FES",2242
"6334","ME2",4200
"6335","SHANK2",22941
"6336","NECAP1",25977
"6337","MRPL28",10573
"6338","NDUFV2",4729
"6339","FAM166B",730112
"6340","PIWIL2",55124
"6341","FLOT2",2319
"6342","GRXCR2",643226
"6343","EFNA2",1943
"6344","TEAD1",7003
"6345","PQBP1",10084
"6346","IL27RA",9466
"6347","RFC5",5985
"6348","CUBN",8029
"6349","APOA4",337
"6350","ALKBH2",121642
"6351","NDUFB5",4711
"6352","PLP2",5355
"6353","SLC6A3",6531
"6354","AAGAB",79719
"6355","SLC14A2",8170
"6356","SHARPIN",81858
"6357","CD247",919
"6358","CPLX2",10814
"6359","ADORA2B",136
"6360","MIS12",79003
"6361","THAP4",51078
"6362","EFEMP1",2202
"6363","GABRP",2568
"6364","TPRXL",348825
"6365","SERPINE1",5054
"6366","FITM1",161247
"6367","PALM3",342979
"6368","OR5AU1",390445
"6369","CCDC51",79714
"6370","IGF2-AS",51214
"6371","ETHE1",23474
"6372","",348840
"6373","SPNS2",124976
"6374","CRABP1",1381
"6375","TIMM17A",10440
"6376","EVA1A",84141
"6377","NGRN",51335
"6378","TEX2",55852
"6379","PREPL",9581
"6380","KLHL22",84861
