"","BT20_Abemaciclib_0.3_6","BT20_Abemaciclib_3_6","BT20_Palbociclib_0.3_6","BT20_Palbociclib_3_6","BT20_Ribociclib_0.3_6"
"DHX33",0.0411059826232927,-0.121025313893905,-0.0319146471511767,-0.0786711826191927,-0.0913176974812025
"LIG3",-0.0238100442707826,-0.164562948702156,0.0258655839516402,-0.157014029936239,-0.0222511173389886
"RPAP3",-0.365491424474487,-0.596743251864811,-0.147076398847145,-0.173011792158126,0.0729592205586543
"ENSG00000005189",-0.72408271214159,-0.936022158320829,-0.618106883669419,-0.311879329424571,-0.44261001334982
"CIAPIN1",0.106853076378013,-0.0239427808022985,0.0894507928014294,0.0346998835053742,0.175542977230797
"SPPL2B",0.541892524714595,0.68004757397545,0.740285733450836,0.460218413111652,0.232136622838963
"FAM214B",0.619383328143526,-0.0311949525863652,0.597119480165773,0.102624626347234,0.292895667688671
"MSL3",-0.298727406816198,-0.324823933879621,-0.184641494897029,-0.196598161504751,-0.184673043783837
"CREBBP",-0.00263110310771967,-0.0404178897371533,0.115996320822914,-0.137686578327928,0.0552678949052067
"GCFC2",0.064530591833421,-0.572807344144691,0.0670841836993773,-0.0822341848182994,0.309396195665915
"WDR54",0.363032812875531,0.22352081971224,0.215095720806665,-0.141692399714632,-0.119354898381467
"CROT",-0.253715232965658,-0.25147034903782,-0.458507728342896,0.0762793778983393,-0.21657096405842
"KMT2E",-0.129886403345898,0.154543555457877,-0.196025932032772,-0.200176603742346,-0.110933443042057
"RHBDD2",0.406182996913799,0.798583160681064,0.344694753003068,0.427666034915901,0.0369641748842863
"IBTK",0.0267580969465763,-0.0857812075477466,0.0110848699030257,0.245346175895376,0.168742614726016
"ZNF195",0.0697476285165039,0.137753459211813,0.039257748939762,0.123874726071088,0.297263690051059
"MYCBP2",-0.100507825184357,-0.367405304442028,-0.159988067699269,-0.0869373085596699,-0.0543085239179668
"FBXL3",-0.402754053975529,-0.986215250936503,-0.299099699141394,-0.227036179608958,-0.0643096445820215
"PDK2",-0.285274661058232,-0.195230439592527,0.21208261783077,-0.0149555744520525,-0.146196424206797
"ITGA3",0.54182701526676,0.838837864176555,0.500055884063389,0.411649631539898,0.386385947947883
"ZFX",-0.144354132022043,-0.400822798594229,-0.139109011105048,-0.0768602041741238,0.0421065990320502
